regio_level,Vuosi,aluekoodi,aluenimi,kuntanimi,kuntanro,variable,value,hyvinvointialue_code,hyvinvointialue_name_fi
Postinumeroalueet,2022-2024,p00420,Kannelmäki (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),128.2979468031875,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00420,Kannelmäki (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),106.2413174493273,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00420,Kannelmäki (Helsinki),Helsinki,91,Työttömät (med.),170.4436265475833,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00420,Kannelmäki (Helsinki),Helsinki,91,Kokonaislukema (med.),134.99429693336603,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00430,Maununneva - Kuninkaantammi (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),61.80933858261841,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00430,Maununneva - Kuninkaantammi (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),65.77201795004653,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00430,Maununneva - Kuninkaantammi (Helsinki),Helsinki,91,Työttömät (med.),89.65596802393011,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00430,Maununneva - Kuninkaantammi (Helsinki),Helsinki,91,Kokonaislukema (med.),72.41244151886502,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00440,Lassila (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),95.36270723432364,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00440,Lassila (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),90.7011202579235,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00440,Lassila (Helsinki),Helsinki,91,Työttömät (med.),126.1482346243698,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00440,Lassila (Helsinki),Helsinki,91,Kokonaislukema (med.),104.07068737220565,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00500,Sörnäinen - Harju (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),68.74583745601558,90,Helsingin kaupunki
